2008.02.18,월,한국경제,도시바는 낸드플래시 대공습삼성전자는 특검에 발목잡혀,일본 전자업체인 도시바가 반도체 업계 사상 최대 규모의 투자를 통해 부동의 낸드플래시 업계 1위인 삼성전자 추월에 나섰다 내년까지 15조원 이상을 투입해 일본 내에 낸드플래시 공장 2곳을 새로 짓겠다는 계획이다 이에 따라 현재 낸드플래시 시장의 40 이상을 점유하고 있는 삼성전자와 2위인,도시바는 낸드플래시 대공습삼성전자는 특검에 발목잡혀일본 전자업체인 도시바가 반도체 업계 사상 최대 규모의 투자를 통해 부동의 낸드플래시 업계 1위인 삼성전자 추월에 나섰다 내년까지 15조원 이상을 투입해 일본 내에 낸드플래시 공장 2곳을 새로 짓겠다는 계획이다 이에 따라 현재 낸드플래시 시장의 40 이상을 점유하고 있는 삼성전자와 2위인 월
2008.02.18,월,뉴스핌,삼성LG전자 휴대폰 세계적으로 호평받아  미래에셋,미래에셋증권 조성은 애널리스트는 18일 지난 주 스페인 3GSM 전시회 결과 삼성전자와 LG전자 휴대폰에 대한 주요 GSM 사업자 및 업계 관계자들의 평가가 과거에 비해 높아졌다며 양사의 GSM부문 고급화 전략은 기존 기술력에 디자인과 감성을 더욱 강조하고 있다는 점에서 후한 평가를 받을 수 있을 전망,삼성LG전자 휴대폰 세계적으로 호평받아  미래에셋미래에셋증권 조성은 애널리스트는 18일 지난 주 스페인 3GSM 전시회 결과 삼성전자와 LG전자 휴대폰에 대한 주요 GSM 사업자 및 업계 관계자들의 평가가 과거에 비해 높아졌다며 양사의 GSM부문 고급화 전략은 기존 기술력에 디자인과 감성을 더욱 강조하고 있다는 점에서 후한 평가를 받을 수 있을 전망 월
2008.02.18,월,전자신문,삼성전자 낸드플래시 사업 호조,삼성전자가 낸드플래시메모리 가격하락과 시장규모 감소에도 불구하고 지난해 4분기에 상위 3개사 중 유일하게 매출액이 늘어난 것으로 나타났다 17일 D램 익스체인지에 따르면 지난해 4분기 낸드플래시메모리 시장은 미국 서브프라임 여파와 전 세계적인 경기 침체 가격하락 등의 영향으로,삼성전자 낸드플래시 사업 호조삼성전자가 낸드플래시메모리 가격하락과 시장규모 감소에도 불구하고 지난해 4분기에 상위 3개사 중 유일하게 매출액이 늘어난 것으로 나타났다 17일 D램 익스체인지에 따르면 지난해 4분기 낸드플래시메모리 시장은 미국 서브프라임 여파와 전 세계적인 경기 침체 가격하락 등의 영향으로 월
2008.02.18,월,전자신문,삼성전자텐실리카와 오디오 DSP 라이센스 계약,삼성전자가 텐실리카와 다이아몬드 스탠더드 330HiFi 오디오 DSP에 대한 다년간의 라이센스 계약을 체결했 텐실리카의 HiFi 아키텍처는 SOC 설계에 가장 많이 사용되고 있는 상업용 오디오 코어이다 삼성은 휴대폰 및 기타 설계에 이,삼성전자텐실리카와 오디오 DSP 라이센스 계약삼성전자가 텐실리카와 다이아몬드 스탠더드 330HiFi 오디오 DSP에 대한 다년간의 라이센스 계약을 체결했 텐실리카의 HiFi 아키텍처는 SOC 설계에 가장 많이 사용되고 있는 상업용 오디오 코어이다 삼성은 휴대폰 및 기타 설계에 이 월
2008.02.18,월,전자신문,삼성전자 하우젠 공기청정기 공개,삼성전자는 슈퍼청정기술을 채용한 2008년형 하우젠 공기청정기 10종을 선보였다 유해 발암물질을 흡착해 제거하는 DNA필터를 탑재했으며 화이트 와인 블랙 색상에 나비 실루엣 등 다양한 디자인을 적용했다,삼성전자 하우젠 공기청정기 공개삼성전자는 슈퍼청정기술을 채용한 2008년형 하우젠 공기청정기 10종을 선보였다 유해 발암물질을 흡착해 제거하는 DNA필터를 탑재했으며 화이트 와인 블랙 색상에 나비 실루엣 등 다양한 디자인을 적용했다 월
2008.02.18,월,한국경제,마감삼성전자 57만7000원154,한경닷컴,마감삼성전자 57만7000원154한경닷컴 월
2008.02.18,월,한국경제,출발삼성전자 58만2000원068,한경닷컴,출발삼성전자 58만2000원068한경닷컴 월
2008.02.18,월,뉴시스,삼성특검 회계사 3명 추가 투입분식회계 수사 본격화,또 특검팀은 차명계좌 명의자인 이기태 삼성전자 부회장 이수창 삼성생명 사장 배호원 삼성증권 사장 등 임원 3명을 불러 계좌 개설 경위와 비자금 조성 관여 여부를 집중 추궁할 방침이다 특검팀은 그러나 전략기획실 핵심임원들에 대해서는 아직까지 소환을 통보하지 않은 것으로 전해졌다 특검,삼성특검 회계사 3명 추가 투입분식회계 수사 본격화또 특검팀은 차명계좌 명의자인 이기태 삼성전자 부회장 이수창 삼성생명 사장 배호원 삼성증권 사장 등 임원 3명을 불러 계좌 개설 경위와 비자금 조성 관여 여부를 집중 추궁할 방침이다 특검팀은 그러나 전략기획실 핵심임원들에 대해서는 아직까지 소환을 통보하지 않은 것으로 전해졌다 특검 월
2008.02.18,월,아시아경제,엠트론 SSD 속도 경쟁에서 삼성 눌러,삼성전자가 SATA II 인터페이스 기반의 SSD를 출시한 데 이어 엠트론스토리지테크놀로지가 삼성전자 신제품과 비슷한 속도의 128GB SSD 제품 양산에 들어가는 등 시장 선점을 위한 업체간 경쟁이 가속화되고 있는 것이다 SSD 전문기업인 엠트론스토리지테크놀로지는,엠트론 SSD 속도 경쟁에서 삼성 눌러삼성전자가 SATA II 인터페이스 기반의 SSD를 출시한 데 이어 엠트론스토리지테크놀로지가 삼성전자 신제품과 비슷한 속도의 128GB SSD 제품 양산에 들어가는 등 시장 선점을 위한 업체간 경쟁이 가속화되고 있는 것이다 SSD 전문기업인 엠트론스토리지테크놀로지는 월
2008.02.18,월,파이낸셜뉴스,ETF 급락장서도 우린 웃지요,증권선물거래소에 따르면 반도체 ETF가 대상주가지수로 삼는 KRX Semicon의 가장 큰 부분을 차지하는 삼성전자의 경우 지난해 말 55만6000원에서 지난 14일 종가기준으로 59만3000원까지 상승했다 하이닉스 역시 같은 기간 2만5950원에서 2만6200원으로 올랐다 하지만 삼성투신 KODEX중대형성장,ETF 급락장서도 우린 웃지요증권선물거래소에 따르면 반도체 ETF가 대상주가지수로 삼는 KRX Semicon의 가장 큰 부분을 차지하는 삼성전자의 경우 지난해 말 55만6000원에서 지난 14일 종가기준으로 59만3000원까지 상승했다 하이닉스 역시 같은 기간 2만5950원에서 2만6200원으로 올랐다 하지만 삼성투신 KODEX중대형성장 월
