일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
20240627,81600,300,0.37,81300,81600,80500,11739720,9.5318E+11,4.8713E+14,5969782550
20240626,81300,500,0.62,80100,81400,79900,17783242,1.436E+12,4.8534E+14,5969782550
20240625,80800,200,0.25,80600,81800,80100,19088458,1.5458E+12,4.8236E+14,5969782550
20240624,80600,600,0.75,79700,80900,79500,15454227,1.2398E+12,4.8116E+14,5969782550
20240621,80000,-1600,-1.96,80700,80800,80000,17907523,1.4374E+12,4.7758E+14,5969782550
20240620,81600,400,0.49,81500,82200,81200,20288913,1.658E+12,4.8713E+14,5969782550
20240619,81200,1400,1.75,81100,82500,80500,24168863,1.9659E+12,4.8475E+14,5969782550
20240618,79800,1700,2.18,78700,80200,78600,18207598,1.4519E+12,4.7639E+14,5969782550
